graph,grammar,category,query_class,num_reachable_pairs
airflow,prov_derivation.cnf,data_provenance,cfpq,91350
apache,c_alias.cnf,c_alias_analysis,cfpq,92806768
arch,c_alias.cnf,c_alias_analysis,cfpq,5339563
atom,nested_parentheses_subClassOf.cnf,rdf,cfpq,2
atom,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,6
atom,nested_parentheses_type.cnf,rdf,cfpq,4
avrora,java_points_to.cnf,java_points_to,cfpq,192790
batik,java_points_to.cnf,java_points_to,cfpq,868368
biomedical,nested_parentheses_subClassOf.cnf,rdf,cfpq,43
biomedical,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,47
biomedical,nested_parentheses_type.cnf,rdf,cfpq,4
block,c_alias.cnf,c_alias_analysis,cfpq,5351409
bzip,c_alias.cnf,c_alias_analysis,cfpq,315
cactus,vf.cnf,context_sensitive_data_flow,cfpq,47806209
cactus_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,37625324
celery,prov_derivation.cnf,data_provenance,cfpq,25306
click,prov_derivation.cnf,data_provenance,cfpq,2710
commons_io,java_points_to.cnf,java_points_to,cfpq,24020
commons_lang3,java_points_to.cnf,java_points_to,cfpq,27553
core,nested_parentheses_subClassOf.cnf,rdf,cfpq,143
core,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,204
core,nested_parentheses_type.cnf,rdf,cfpq,61
crypto,c_alias.cnf,c_alias_analysis,cfpq,5428237
django,prov_derivation.cnf,data_provenance,cfpq,615946
drivers,c_alias.cnf,c_alias_analysis,cfpq,18825025
eclass,nested_parentheses_subClassOf.cnf,rdf,cfpq,90988
eclass,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,90994
eclass,nested_parentheses_type.cnf,rdf,cfpq,6
eclipse,java_points_to.cnf,java_points_to,cfpq,378989
enzyme,nested_parentheses_broaderTransitive.cnf,rdf,cfpq,14267542
enzyme,nested_parentheses_subClassOf.cnf,rdf,cfpq,394
enzyme,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,396
enzyme,nested_parentheses_type.cnf,rdf,cfpq,3
fastapi,prov_derivation.cnf,data_provenance,cfpq,8814
flask,prov_derivation.cnf,data_provenance,cfpq,8062
foaf,nested_parentheses_subClassOf.cnf,rdf,cfpq,7
foaf,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,36
foaf,nested_parentheses_type.cnf,rdf,cfpq,29
fop,java_points_to.cnf,java_points_to,cfpq,1984072
fs,c_alias.cnf,c_alias_analysis,cfpq,9646475
funding,nested_parentheses_subClassOf.cnf,rdf,cfpq,27
funding,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,58
funding,nested_parentheses_type.cnf,rdf,cfpq,31
generations,nested_parentheses_subClassOf.cnf,rdf,cfpq,0
generations,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,12
generations,nested_parentheses_type.cnf,rdf,cfpq,12
geospecies,nested_parentheses_broaderTransitive.cnf,rdf,cfpq,226669749
geospecies,nested_parentheses_subClassOf.cnf,rdf,cfpq,0
geospecies,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,85
geospecies,nested_parentheses_type.cnf,rdf,cfpq,85
go,nested_parentheses_subClassOf.cnf,rdf,cfpq,640305
go,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,640316
go,nested_parentheses_type.cnf,rdf,cfpq,9
go_hierarchy,nested_parentheses_subClassOf.cnf,rdf,cfpq,588976
go_hierarchy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,588976
go_hierarchy,nested_parentheses_type.cnf,rdf,cfpq,0
gson,java_points_to.cnf,java_points_to,cfpq,56325
guava,java_points_to.cnf,java_points_to,cfpq,26384496
gzip,c_alias.cnf,c_alias_analysis,cfpq,1458
h2,java_points_to.cnf,java_points_to,cfpq,2611022
httpx,prov_derivation.cnf,data_provenance,cfpq,4408
