graph,grammar,category,query_class,num_reachable_pairs
airflow,prov_derivation.cnf,data_provenance,cfpq,91350
apache,c_alias.cnf,c_alias_analysis,cfpq,
arch,c_alias.cnf,c_alias_analysis,cfpq,
atom,nested_parentheses_subClassOf.cnf,rdf,cfpq,2
atom,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,6
atom,nested_parentheses_type.cnf,rdf,cfpq,4
avrora,java_points_to.cnf,java_points_to,cfpq,21532
batik,java_points_to.cnf,java_points_to,cfpq,
biomedical,nested_parentheses_subClassOf.cnf,rdf,cfpq,43
biomedical,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,47
biomedical,nested_parentheses_type.cnf,rdf,cfpq,4
block,c_alias.cnf,c_alias_analysis,cfpq,
bzip,c_alias.cnf,c_alias_analysis,cfpq,315
cactus,aa.cnf,context_sensitive_data_flow,cfpq,
cactus_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
celery,prov_derivation.cnf,data_provenance,cfpq,25306
click,prov_derivation.cnf,data_provenance,cfpq,2710
commons_io,java_points_to.cnf,java_points_to,cfpq,24020
commons_lang3,java_points_to.cnf,java_points_to,cfpq,27553
core,nested_parentheses_subClassOf.cnf,rdf,cfpq,143
core,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,204
core,nested_parentheses_type.cnf,rdf,cfpq,61
crypto,c_alias.cnf,c_alias_analysis,cfpq,
django,prov_derivation.cnf,data_provenance,cfpq,615946
drivers,c_alias.cnf,c_alias_analysis,cfpq,
eclass,nested_parentheses_subClassOf.cnf,rdf,cfpq,90988
eclass,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,90994
eclass,nested_parentheses_type.cnf,rdf,cfpq,6
eclipse,java_points_to.cnf,java_points_to,cfpq,
enzyme,nested_parentheses_broaderTransitive.cnf,rdf,cfpq,
enzyme,nested_parentheses_subClassOf.cnf,rdf,cfpq,394
enzyme,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,396
enzyme,nested_parentheses_type.cnf,rdf,cfpq,3
fastapi,prov_derivation.cnf,data_provenance,cfpq,8814
flask,prov_derivation.cnf,data_provenance,cfpq,8062
foaf,nested_parentheses_subClassOf.cnf,rdf,cfpq,7
foaf,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,36
foaf,nested_parentheses_type.cnf,rdf,cfpq,29
fop,java_points_to.cnf,java_points_to,cfpq,
fs,c_alias.cnf,c_alias_analysis,cfpq,
funding,nested_parentheses_subClassOf.cnf,rdf,cfpq,27
funding,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,58
funding,nested_parentheses_type.cnf,rdf,cfpq,31
generations,nested_parentheses_subClassOf.cnf,rdf,cfpq,0
generations,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,12
generations,nested_parentheses_type.cnf,rdf,cfpq,12
geospecies,nested_parentheses_broaderTransitive.cnf,rdf,cfpq,
geospecies,nested_parentheses_subClassOf.cnf,rdf,cfpq,0
geospecies,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,
geospecies,nested_parentheses_type.cnf,rdf,cfpq,
go,nested_parentheses_subClassOf.cnf,rdf,cfpq,640305
go,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,640316
go,nested_parentheses_type.cnf,rdf,cfpq,9
go_hierarchy,nested_parentheses_subClassOf.cnf,rdf,cfpq,588976
go_hierarchy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,588976
go_hierarchy,nested_parentheses_type.cnf,rdf,cfpq,0
gson,java_points_to.cnf,java_points_to,cfpq,56325
guava,java_points_to.cnf,java_points_to,cfpq,
gzip,c_alias.cnf,c_alias_analysis,cfpq,1458
h2,java_points_to.cnf,java_points_to,cfpq,
httpx,prov_derivation.cnf,data_provenance,cfpq,
imagick,aa.cnf,context_sensitive_data_flow,cfpq,12687034
imagick_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
init,c_alias.cnf,c_alias_analysis,cfpq,
ipc,c_alias.cnf,c_alias_analysis,cfpq,
itsdangerous,prov_derivation.cnf,data_provenance,cfpq,2912
jackson,java_points_to.cnf,java_points_to,cfpq,
jiaozi,name_resolution.cnf,name_resolution,cfpq,
jinja,prov_derivation.cnf,data_provenance,cfpq,7436
jsonpath,name_resolution.cnf,name_resolution,cfpq,59764
junit5,java_points_to.cnf,java_points_to,cfpq,
jython,java_points_to.cnf,java_points_to,cfpq,
kernel,c_alias.cnf,c_alias_analysis,cfpq,
leela,aa.cnf,context_sensitive_data_flow,cfpq,662466
leela_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,3968276
lib,c_alias.cnf,c_alias_analysis,cfpq,
libgdx,name_resolution.cnf,name_resolution,cfpq,
ls,c_alias.cnf,c_alias_analysis,cfpq,854
luindex,java_points_to.cnf,java_points_to,cfpq,9677
lusearch,java_points_to.cnf,java_points_to,cfpq,9242
mm,c_alias.cnf,c_alias_analysis,cfpq,
mockito,java_points_to.cnf,java_points_to,cfpq,16169
nab,aa.cnf,context_sensitive_data_flow,cfpq,739646
nab_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,262566
net,c_alias.cnf,c_alias_analysis,cfpq,
omnetpp,aa.cnf,context_sensitive_data_flow,cfpq,
omnetpp_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
pandas,prov_derivation.cnf,data_provenance,cfpq,154646
parest,aa.cnf,context_sensitive_data_flow,cfpq,1342540
parest_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
pathways,nested_parentheses_subClassOf.cnf,rdf,cfpq,883
pathways,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,884
pathways,nested_parentheses_type.cnf,rdf,cfpq,2
people,nested_parentheses_subClassOf.cnf,rdf,cfpq,24
people,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,51
people,nested_parentheses_type.cnf,rdf,cfpq,29
perlbench,aa.cnf,context_sensitive_data_flow,cfpq,
perlbench_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
pizza,nested_parentheses_subClassOf.cnf,rdf,cfpq,1334
pizza,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,1356
pizza,nested_parentheses_type.cnf,rdf,cfpq,20
pluggy,prov_derivation.cnf,data_provenance,cfpq,880
pmd,java_points_to.cnf,java_points_to,cfpq,60518
postgre,c_alias.cnf,c_alias_analysis,cfpq,
povray,aa.cnf,context_sensitive_data_flow,cfpq,
povray_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,
pr,c_alias.cnf,c_alias_analysis,cfpq,385
requests,prov_derivation.cnf,data_provenance,cfpq,2524
sampleproject,prov_derivation.cnf,data_provenance,cfpq,342
scikit-learn,prov_derivation.cnf,data_provenance,cfpq,217728
security,c_alias.cnf,c_alias_analysis,cfpq,
shattered_pixel_dungeon,name_resolution.cnf,name_resolution,cfpq,
skos,nested_parentheses_subClassOf.cnf,rdf,cfpq,1
skos,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,30
skos,nested_parentheses_type.cnf,rdf,cfpq,29
sound,c_alias.cnf,c_alias_analysis,cfpq,
sphinx,prov_derivation.cnf,data_provenance,cfpq,304084
sunflow,java_points_to.cnf,java_points_to,cfpq,16354
superset,prov_derivation.cnf,data_provenance,cfpq,97460
taxonomy,nested_parentheses_subClassOf.cnf,rdf,cfpq,
taxonomy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,
taxonomy,nested_parentheses_type.cnf,rdf,cfpq,
taxonomy_hierarchy,nested_parentheses_subClassOf.cnf,rdf,cfpq,
taxonomy_hierarchy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,
taxonomy_hierarchy,nested_parentheses_type.cnf,rdf,cfpq,
tomcat,java_points_to.cnf,java_points_to,cfpq,
tradebeans,java_points_to.cnf,java_points_to,cfpq,
tradesoap,java_points_to.cnf,java_points_to,cfpq,
travel,nested_parentheses_subClassOf.cnf,rdf,cfpq,33
travel,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,52
travel,nested_parentheses_type.cnf,rdf,cfpq,19
unigraph_1,unigraph_1.cnf,biological_uniprot,cfpq,376578
unigraph_10,unigraph_10.cnf,biological_uniprot,cfpq,
unigraph_2,unigraph_2.cnf,biological_uniprot,cfpq,
unigraph_3,unigraph_3.cnf,biological_uniprot,cfpq,
unigraph_4,unigraph_4.cnf,biological_uniprot,cfpq,
unigraph_5,unigraph_5.cnf,biological_uniprot,cfpq,
unigraph_6,unigraph_6.cnf,biological_uniprot,cfpq,
unigraph_7,unigraph_7.cnf,biological_uniprot,cfpq,
unigraph_8,unigraph_8.cnf,biological_uniprot,cfpq,
unigraph_9,unigraph_9.cnf,biological_uniprot,cfpq,
univ,nested_parentheses_subClassOf.cnf,rdf,cfpq,17
univ,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,25
univ,nested_parentheses_type.cnf,rdf,cfpq,6
wc,c_alias.cnf,c_alias_analysis,cfpq,156
wikipedia-provenance,prov_derivation.cnf,data_provenance,cfpq,1732
wine,nested_parentheses_subClassOf.cnf,rdf,cfpq,499
wine,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,565
wine,nested_parentheses_type.cnf,rdf,cfpq,65
x264,aa.cnf,context_sensitive_data_flow,cfpq,20259480
x264_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,5246565
xalan,java_points_to.cnf,java_points_to,cfpq,
xz,aa.cnf,context_sensitive_data_flow,cfpq,358834
xz_field_sensitive_alias,vf.cnf,field_sensitive_alias,cfpq,205164
zulip,prov_derivation.cnf,data_provenance,cfpq,209908
